genes,symbol,average_foldchange,UCS,THYM,BRCA,LGG,THCA,UVM,LIHC,KIRP,PCPG,BLCA,CESC,SARC,GBM,HNSC,ACC,UCEC,PAAD,COAD,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000168538.16,TRAPPC11,-0.763518079,-1.064668364,-1.059924261,-1.079191433,-0.829970626,-0.778288858,-1.470354773,-1.135276767,-0.643444571,-0.739090677,-1.206870325,-0.549541121,-0.286847137,-0.451387764,-0.524215764,-0.946549706,-0.416040021,-0.407758352,-0.153904896,trafficking protein particle complex subunit 11,"TRAPPC11 is a gene that encodes a subunit of the TRAPP tethering complex, which plays a role in intracellular vesicle trafficking. This particular subunit is involved in the early stages of transporting vesicles from the endoplasmic reticulum to the Golgi apparatus. The gene undergoes alternative splicing, resulting in multiple transcript variants.","There is limited information available on the disease implications of TRAPPC11 mutations. However, recent studies have suggested that mutations in TRAPPC11 may be associated with intellectual disability and developmental delay. Targeted drug discovery efforts for TRAPPC11 are also limited, as the function of this gene is not well understood. However, there have been some successful drugs on the market that target other subunits of the TRAPP complex, such as the small molecule inhibitor golgicide A, which targets the TRAPPC2 subunit and has been shown to inhibit vesicle trafficking and cell proliferation. Additionally, the drug brefeldin A, which targets the ARF1 protein involved in vesicle trafficking, has been used in research to study the function of the TRAPP complex. Further research is needed to fully understand the role of TRAPPC11 in disease and to develop targeted therapies.","GO:0045054 constitutive secretory pathway;GO:0061635 regulation of protein complex stability;GO:0048207 vesicle targeting, rough ER to cis-Golgi",,Disease related genes; Human disease related genes:Musculoskeletal diseases:Muscular diseases; Predicted intracellular proteins,Cytosol (Uncertain); Additional: Vesicles,,,
ENSG00000074054.20,CLASP1,-0.758577482,-2.052801211,-1.058132019,-1.121813651,-0.74998384,-0.612633719,-0.514374664,-0.646853122,-0.712868226,-0.44829516,-1.009146817,-0.617531121,-0.870831647,-0.941491395,-0.705102021,-0.456979893,-0.430563771,-0.5384131,-0.166579294,cytoplasmic linker associated protein 1,"CLASP1 is a human gene that encodes for a nonmotor microtubule-associated protein. It interacts with CLIPs and is involved in regulating microtubule dynamics at the kinetochore and throughout the spindle. This gene plays a role in cell division and is important for maintaining proper chromosome segregation during mitosis. Mutations in CLASP1 have been associated with various diseases, including cancer and developmental disorders.","CLASP1 has been implicated in various diseases, including cancer and developmental disorders. In cancer, CLASP1 has been shown to be overexpressed in several types of tumors, including breast, ovarian, and lung cancers. Targeting CLASP1 has been proposed as a potential therapeutic strategy for cancer treatment. However, there are currently no drugs on the market that specifically target CLASP1.

There have been some efforts to develop drugs that target microtubule-associated proteins, including CLASP1. For example, taxanes such as paclitaxel and docetaxel are commonly used chemotherapeutic agents that target microtubules. However, these drugs are not specific to CLASP1 and can have significant side effects.

Another potential approach to targeting CLASP1 is through the use of small molecule inhibitors. A recent study identified a small molecule inhibitor of CLASP1 that was able to inhibit tumor growth in vitro and in vivo. However, further research is needed to determine the safety and efficacy of this approach.

Overall, while CLASP1 has been implicated in various diseases, including cancer, there are currently no drugs on the market that specifically target this gene. However, there is ongoing research into the development of drugs that target microtubule-associated proteins, including CLASP1, which may lead to new treatment options in the future.","GO:1903690 negative regulation of wound healing, spreading of epidermal cells;GO:1904259 regulation of basement membrane assembly involved in embryonic body morphogenesis;GO:1904261 positive regulation of basement membrane assembly involved in embryonic body morphogenesis",,Predicted intracellular proteins,,Fostamatinib,,(M5893)HALLMARK MITOTIC SPINDLE
ENSG00000138757.15,G3BP2,-0.754347097,-0.942076471,-0.796803941,-1.024218006,-1.042379127,-0.681053317,-1.043989997,-0.89613445,-0.700215261,-1.333746713,-0.953557977,-0.59304664,-1.070181099,-0.183415945,-0.33928843,-1.075462579,-0.407648416,-0.46770331,-0.027326065,G3BP stress granule assembly factor 2,G3BP2 is a human gene that encodes for a protein called G3BP stress granule assembly factor 2. This protein is involved in RNA binding activity and plays a role in positive regulation of stress granule assembly and protein homooligomerization. It is located in both the cytoplasmic stress granule and cytosol. The stress granule is a structure that forms in response to cellular stress and is involved in regulating RNA metabolism. G3BP2 is important for the assembly of stress granules and may play a role in cellular stress response.,"G3BP2 has been implicated in several diseases, including cancer, viral infections, and neurodegenerative disorders. In cancer, G3BP2 has been shown to promote tumor growth and metastasis, making it a potential target for cancer therapy. Targeted drug discovery efforts have focused on developing small molecule inhibitors of G3BP2, with some promising results in preclinical studies. However, no drugs targeting G3BP2 have been approved for clinical use yet. In viral infections, G3BP2 has been shown to play a role in the replication of several viruses, including Zika virus and hepatitis C virus, making it a potential target for antiviral therapy. In neurodegenerative disorders, G3BP2 has been implicated in the formation of pathological protein aggregates, such as those seen in Alzheimer's disease and amyotrophic lateral sclerosis (ALS). However, no drugs targeting G3BP2 have been approved for the treatment of these disorders yet.",GO:0007253 cytoplasmic sequestering of NF-kappaB;GO:0062029 positive regulation of stress granule assembly;GO:0042994 cytoplasmic sequestering of transcription factor,,Predicted intracellular proteins,Cytosol (Enhanced),,,(M5905)HALLMARK ADIPOGENESIS
ENSG00000151461.20,UPF2,-0.752108209,-0.887211204,-1.110195447,-1.026141528,-0.726466016,-0.770324415,-1.949002763,-0.902753668,-0.544419372,-0.581972853,-0.845892924,-0.62117424,-0.358827209,-0.885779618,-0.318890608,-0.873827575,-0.487752138,-0.322935549,-0.324380628,UPF2 regulator of nonsense mediated mRNA decay,"UPF2 is a human gene that encodes a protein involved in mRNA nuclear export and mRNA surveillance. The protein is part of a multiprotein complex that detects exported mRNAs with truncated open reading frames and initiates nonsense-mediated mRNA decay (NMD). NMD degrades mRNAs containing premature stop codons. The protein interacts with translation release factors and proteins that are functional homologs of yeast Upf1p and Upf3p. Two splice variants have been found for this gene, both of which encode the same protein. The protein is located in the perinuclear area.","There is limited information available on the disease implications of UPF2. However, recent studies have suggested that mutations in UPF2 may be associated with neurodevelopmental disorders such as autism spectrum disorder and intellectual disability. Targeted drug discovery efforts for UPF2 are currently underway, with a focus on identifying small molecule inhibitors that can modulate the activity of the protein. While there are currently no drugs on the market that specifically target UPF2, there are several drugs that indirectly affect the NMD pathway, such as aminoglycoside antibiotics and readthrough agents. These drugs have been used to treat genetic disorders caused by premature stop codons, such as cystic fibrosis and Duchenne muscular dystrophy.","GO:0000184 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;GO:0031100 animal organ regeneration;GO:0006406 mRNA export from nucleus",,Predicted intracellular proteins,Cytosol (Supported); Additional: Cytoplasmic bodies,,,
ENSG00000104067.17,TJP1,-0.748304793,-0.549214626,-1.767909856,-1.213528432,-0.885577615,-0.874063822,-1.202465552,-1.114245689,-0.915795706,-0.248711643,-0.747856363,-0.544588339,-0.911835269,-0.497880033,-0.578674418,-0.453515671,-0.738127828,-0.088962335,-0.136533079,tight junction protein 1,"TJP1, also known as tight junction protein 1, is a member of the membrane-associated guanylate kinase family of proteins. It acts as an adaptor protein that regulates both tight junctions and adherens junctions, which are responsible for regulating the movement of ions and macromolecules between endothelial and epithelial cells. TJP1 has a multidomain structure that includes a postsynaptic density 95/disc-large/zona occludens domain, a Src homology domain, a guanylate kinase domain, and unique motifs that help to coordinate the binding of transmembrane proteins, cytosolic proteins, and F-actin. Alternative splicing results in multiple transcript variants encoding different isoforms.","TJP1 has been implicated in various diseases, including cancer, inflammatory bowel disease, and neurological disorders. In cancer, TJP1 has been shown to play a role in tumor progression and metastasis by regulating cell migration and invasion. Inflammatory bowel disease is characterized by chronic inflammation of the gastrointestinal tract, and TJP1 has been found to be dysregulated in patients with this condition. In neurological disorders, TJP1 has been linked to blood-brain barrier dysfunction, which can contribute to the development of neurodegenerative diseases.

Targeted drug discovery efforts for TJP1 are ongoing, with a focus on developing drugs that can modulate its activity and restore normal junctional function. One approach is to target the interaction between TJP1 and other proteins involved in junctional regulation, such as ZO-1 and occludin. Another approach is to target the downstream signaling pathways that are activated by TJP1, such as the Rho GTPase pathway.

There are currently no drugs on the market that specifically target TJP1, but there are drugs that indirectly affect its activity. For example, corticosteroids, which are commonly used to treat inflammatory bowel disease, have been shown to increase TJP1 expression and improve barrier function. Additionally, statins, which are used to lower cholesterol levels, have been found to improve blood-brain barrier function by upregulating TJP1 expression.",GO:0071896 protein localization to adherens junction;GO:1902396 protein localization to bicellular tight junction;GO:1905605 positive regulation of blood-brain barrier permeability,yes,Transporters:Accessory Factors Involved in Transport; Predicted intracellular proteins,Cell Junctions (Enhanced),,(M193)PID NEPHRIN NEPH1 PATHWAY; (M156)PID ECADHERIN NASCENT AJ PATHWAY,(M5896)HALLMARK TGF BETA SIGNALING; (M5942)HALLMARK UV RESPONSE DN; (M5915)HALLMARK APICAL JUNCTION
ENSG00000078747.16,ITCH,-0.74323074,-1.297940268,-0.89663717,-1.133642233,-0.814051147,-0.844126375,-1.533781119,-0.977696718,-0.113594375,-0.620186376,-0.778934517,-0.421367337,-0.475484776,-0.07308184,-1.231123411,-0.775703697,-0.389831148,-0.673457598,-0.327513211,itchy E3 ubiquitin protein ligase,"The human gene ITCH encodes a protein called Itchy E3 ubiquitin protein ligase, which belongs to the Nedd4 family of HECT domain E3 ubiquitin ligases. These ligases transfer ubiquitin from E2 ubiquitin-conjugating enzymes to specific protein substrates, targeting them for lysosomal degradation. ITCH plays a role in various cellular processes, including erythroid and lymphoid cell differentiation and immune response regulation. Mutations in ITCH have been linked to syndromic multisystem autoimmune disease. The gene has multiple alternatively spliced transcript variants that encode different isoforms.","Mutations in the ITCH gene have been associated with several diseases, including syndromic multisystem autoimmune disease, which is characterized by autoimmune disorders affecting multiple organs and tissues. Targeted drug discovery efforts for ITCH have focused on developing small molecule inhibitors that can block the activity of the Itchy E3 ubiquitin protein ligase. One example is the compound itraconazole, which has been shown to inhibit ITCH and reduce the growth of cancer cells in vitro and in vivo. Another example is the compound pyrvinium, which has been shown to inhibit ITCH and promote the differentiation of erythroid cells in vitro. However, there are currently no drugs targeting ITCH that have been approved for clinical use.",GO:0002249 lymphocyte anergy;GO:0002870 T cell anergy;GO:0002669 positive regulation of T cell anergy,,Human disease related genes:Immune system diseases:Allergies and autoimmune diseases; Predicted intracellular proteins; ENZYME proteins:Transferases; Potential drug targets; Disease related genes; Enzymes,Nucleoplasm (Enhanced); Additional: Vesicles,,(M13)PID ERBB4 PATHWAY; (M60)PID NFAT TFPATHWAY; (M236)PID DELTA NP63 PATHWAY,
ENSG00000101126.18,ADNP,-0.74217267,-1.969184043,-0.781806487,-1.269710197,-0.817449077,-0.745089305,-1.174567136,-0.574293441,-0.153101172,-0.68510952,-1.06513968,-0.576097286,-0.790335624,-0.435175295,-0.853565343,-0.510769128,-0.466855786,-0.274156357,-0.21670319,activity dependent neuroprotector homeobox,"ADNP (Activity Dependent Neuroprotector Homeobox) is a gene that encodes a protein containing one homeobox and nine zinc finger domains, indicating that it functions as a transcription factor. It is upregulated by vasoactive intestinal peptide, a neuroprotective factor that stimulates the growth of some tumor cells and inhibits others. ADNP may be involved in the stimulatory effect of vasoactive intestinal peptide on certain tumor cells and is also upregulated in normal proliferative tissues. The encoded protein may increase the viability of certain cell types by modulating p53 activity. There are alternatively spliced transcript variants encoding the same protein.","ADNP has been implicated in several neurological disorders, including autism spectrum disorder (ASD), schizophrenia, and Alzheimer's disease. Mutations in the ADNP gene have been identified in individuals with ASD, and studies have shown that ADNP plays a critical role in brain development and function. Targeted drug discovery efforts have focused on developing small molecules that can modulate ADNP activity and potentially treat these disorders. One example is NAP (NAPVSIPQ), a small peptide derived from ADNP that has been shown to improve cognitive function in animal models of ASD and Alzheimer's disease. Another example is davunetide, a synthetic peptide that is structurally similar to NAP and has shown promise in clinical trials for the treatment of schizophrenia and Alzheimer's disease. However, further research is needed to fully understand the therapeutic potential of targeting ADNP in these disorders.",GO:0033484 intracellular nitric oxide homeostasis;GO:0007614 short-term memory;GO:0044849 estrous cycle,,Predicted intracellular proteins; Transcription factors:Helix-turn-helix domains; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes; Cancer-related genes:Mutated cancer genes; Transcription factors:Zinc-coordinating DNA-binding domains,Nucleoplasm (Approved),,,
ENSG00000163660.12,CCNL1,-0.741819324,-0.984296537,-0.767662559,-0.714660884,-0.338223096,-0.854388945,-2.282209947,-0.920861648,-0.61387315,-0.238766145,-0.152512964,-0.137702026,-0.519532359,-1.397738365,-0.854827201,-0.457491382,-0.536612391,-0.94515961,-0.636228629,cyclin L1,"CCNL1, also known as cyclin L1, is a human gene that is predicted to play a role in regulating transcription by RNA polymerase II. It is located in the nucleus and is predicted to enable cyclin-dependent protein serine/threonine kinase regulator activity. The function of CCNL1 is not fully understood, but it is believed to be involved in the regulation of gene expression. Further research is needed to fully understand the role of CCNL1 in human biology and disease.","There is limited information available on the disease implications of CCNL1. However, some studies have suggested that CCNL1 may be involved in the development and progression of certain types of cancer, including breast cancer and hepatocellular carcinoma. Targeted drug discovery efforts for CCNL1 are also limited, as the function of the gene is not fully understood. However, some studies have suggested that targeting CCNL1 may be a potential therapeutic strategy for cancer treatment. Currently, there are no drugs on the market that specifically target CCNL1. However, there are several drugs that target cyclin-dependent kinases (CDKs), which are involved in the regulation of cell cycle progression and are closely related to CCNL1. Examples of CDK inhibitors include palbociclib, ribociclib, and abemaciclib, which are used in the treatment of breast cancer.",GO:0046605 regulation of centrosome cycle;GO:0043484 regulation of RNA splicing;GO:0032886 regulation of microtubule-based process,,Predicted intracellular proteins,Nuclear bodies;Nucleoplasm (Supported),,,(M5890)HALLMARK TNFA SIGNALING VIA NFKB
ENSG00000169045.17,HNRNPH1,-0.740914215,-2.630220459,-0.603635051,-0.519275339,-0.26691685,-0.666648435,-2.256671256,-0.821229277,-0.573260104,-0.762418124,-0.494827144,-0.385632499,-0.796343993,-0.872510519,-0.472742007,-0.208083607,-0.345717801,-0.538986917,-0.121336491,heterogeneous nuclear ribonucleoprotein H1,HNRNPH1 is a gene that encodes a heterogeneous nuclear ribonucleoprotein (hnRNP) that binds to RNA. hnRNPs are RNA binding proteins that are associated with pre-mRNAs in the nucleus and influence pre-mRNA processing and other aspects of mRNA metabolism and transport. HNRNPH1 has three repeats of quasi-RRM domains that bind to RNA and is similar to the family member HNRPF. This gene may be associated with hereditary lymphedema type I. Different versions of the gene have been described due to alternative splicing.,"HNRNPH1 has been implicated in several diseases, including cancer, neurodegenerative disorders, and lymphedema. In particular, mutations in HNRNPH1 have been associated with hereditary lymphedema type I, a condition characterized by swelling of the limbs due to impaired lymphatic drainage. Targeted drug discovery efforts for HNRNPH1 are still in the early stages, but there is potential for developing drugs that modulate its RNA binding activity. One example of a successful drug targeting hnRNPs is E7107, which inhibits the activity of hnRNP A1 and has shown promise in preclinical studies for the treatment of various cancers. Another example is the drug RG7916, which targets the hnRNP family member SMN2 and has been approved for the treatment of spinal muscular atrophy. Further research is needed to fully understand the potential of targeting HNRNPH1 for therapeutic purposes.","GO:0043484 regulation of RNA splicing;GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;GO:0000398 mRNA splicing, via spliceosome",,Predicted intracellular proteins,Nucleoplasm (Enhanced),Copper,,
ENSG00000132680.11,KHDC4,-0.737221171,-1.798065737,-0.925849684,-0.826538497,-0.608422489,-0.998697361,-1.060615638,-0.613634929,-0.392331119,-0.113278108,-1.024582621,-0.355428202,-0.938188529,-1.164041972,-0.607581267,-0.159009819,-0.550065479,-0.720921929,-0.412727706,"KH domain containing 4, pre-mRNA splicing factor","KHDC4 is a human gene that encodes for a pre-mRNA splicing factor containing a KH domain, which enables RNA binding activity. This gene is involved in mRNA splice site selection and is located in both the cytoplasm and nucleoplasm. KHDC4 colocalizes with the spliceosomal complex, which is responsible for the removal of introns from pre-mRNA molecules. The function of KHDC4 in pre-mRNA splicing suggests that it plays an important role in regulating gene expression and protein production in human cells.","There is limited information available on the disease implications of KHDC4. However, recent studies have suggested that mutations in this gene may be associated with certain types of cancer, including breast cancer and lung cancer. Targeted drug discovery efforts for KHDC4 are also limited, as the exact role of this gene in cancer development and progression is not yet fully understood. Currently, there are no drugs on the market that specifically target KHDC4. However, there are several drugs that target other pre-mRNA splicing factors, such as spliceosome inhibitors, which have shown promise in the treatment of certain types of cancer. Further research is needed to fully understand the potential therapeutic implications of targeting KHDC4 in cancer treatment.",GO:0006376 mRNA splice site recognition;GO:0000245 spliceosomal complex assembly;GO:0022618 protein-RNA complex assembly,,Predicted intracellular proteins,Nucleoplasm (Supported),,,
ENSG00000217128.12,FNIP1,-0.733226987,-2.733593599,-1.037988354,-1.164257291,-0.504830471,-0.535981496,-1.559301064,-0.63526042,-0.489890656,-0.680888456,-0.412976664,-0.251846545,-0.321637924,-0.273254452,-0.768053092,-0.526830145,-0.423756463,-0.593208057,-0.284530609,folliculin interacting protein 1,"FNIP1 is a gene that encodes a protein that interacts with the tumor suppressor protein folliculin and AMP-activated protein kinase (AMPK). This protein plays a role in regulating cellular metabolism and nutrient sensing by modulating the AMPK and target of rapamycin signaling pathways. FNIP1 has a closely related paralog that encodes a protein with similar binding activities. Both proteins also associate with the molecular chaperone heat shock protein-90 (Hsp90) and negatively regulate its ATPase activity and facilitate its association with folliculin. This gene is important in understanding the regulation of cellular metabolism and nutrient sensing, and its dysregulation may contribute to the development of certain diseases.","Research on FNIP1 is still in its early stages, and there is limited information available on its disease implications and targeted drug discovery efforts. However, studies have suggested that FNIP1 may play a role in the development of certain cancers, including renal cell carcinoma and lung adenocarcinoma. Targeting FNIP1 and its associated pathways may therefore have potential therapeutic implications for these cancers. Currently, there are no drugs on the market that specifically target FNIP1, but ongoing research may lead to the development of novel therapies in the future.",GO:0002904 positive regulation of B cell apoptotic process;GO:1905672 negative regulation of lysosome organization;GO:2000973 regulation of pro-B cell differentiation,,Disease related genes; Predicted intracellular proteins,,,,
ENSG00000138078.16,PREPL,-0.732786671,-1.143594112,-1.451936079,-1.334361315,-1.121323169,-0.939296106,-1.040439112,-0.862056225,-0.556405613,-0.708280005,-0.962868174,-0.537630814,-0.743382761,-0.013950511,-0.144435548,-0.471319715,-0.459127488,-0.684336217,-0.015417106,prolyl endopeptidase like,"The PREPL gene encodes a protein that belongs to the prolyl oligopeptidase subfamily of serine peptidases. Mutations in this gene have been linked to hypotonia-cystinuria syndrome, also known as the 2p21 deletion syndrome. This condition is characterized by low muscle tone and the presence of cystine crystals in the urine. The gene has several alternatively spliced transcript variants that encode either the same or different isoforms.","Hypotonia-cystinuria syndrome, caused by mutations in the PREPL gene, is a rare autosomal recessive disorder that affects the nervous system and the urinary tract. The condition is characterized by hypotonia, or low muscle tone, which can lead to delayed motor development and difficulty with movement. Additionally, individuals with this syndrome may experience recurrent urinary tract infections and the formation of cystine stones in the kidneys and bladder. There are currently no targeted drug therapies available for hypotonia-cystinuria syndrome, and treatment is focused on managing symptoms and preventing complications. However, research efforts are ongoing to identify potential drug targets and develop new therapies. One example of a successful drug on the market for a related condition is tiopronin, which is used to treat cystinuria by reducing the formation of cystine stones in the urinary tract.",GO:0043001 Golgi to plasma membrane protein transport;GO:2000300 regulation of synaptic vesicle exocytosis;GO:0061951 establishment of protein localization to plasma membrane,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Predicted intracellular proteins; Peptidases:Serine-type peptidases; Potential drug targets; Disease related genes; Enzymes,,,,
ENSG00000086712.13,TXLNG,-0.732566027,-0.998298415,-1.473558585,-1.148424942,-1.114539982,-0.985091545,-1.416409369,-0.733409767,-0.594992841,-0.778998665,-1.200625584,-0.410854739,-0.822591766,-0.049110375,-0.378243947,-0.36765957,-0.175063793,-0.475620803,-0.062693806,taxilin gamma,"TXLNG, also known as taxilin gamma, is a gene that encodes a protein belonging to the taxilin family. The protein binds to the coiled-coil region of certain syntaxin family members and may be involved in intracellular vesicle trafficking. It is up-regulated by lipopolysaccharide and may play a role in cell cycle regulation. The mouse protein has been shown to regulate bone mass accrual by inhibiting activating transcription factor 4-mediated transcription. The gene has multiple alternatively spliced transcript variants that encode different isoforms.","There is limited information available on the disease implications of TXLNG. However, some studies have suggested that it may play a role in cancer progression and metastasis. Targeted drug discovery efforts for TXLNG are also limited, as the function of the protein is not well understood. Currently, there are no drugs on the market that specifically target TXLNG. However, there are drugs that target related proteins involved in intracellular vesicle trafficking, such as botulinum toxin, which is used to treat muscle spasms and wrinkles, and tetrodotoxin, which is used as a local anesthetic. Further research is needed to fully understand the role of TXLNG in disease and to develop targeted therapies.",GO:0030500 regulation of bone mineralization;GO:0070167 regulation of biomineral tissue development;GO:0030278 regulation of ossification,,Predicted intracellular proteins,Cytosol (Approved),,(M65)PID FRA PATHWAY,
ENSG00000129473.11,BCL2L2,-0.729699469,-1.921009809,-1.244555391,-0.571438352,-0.692741194,-0.56011912,-0.937749061,-0.613003372,-0.738668292,-0.601338596,-0.346463364,-0.448178289,-0.837076694,-0.949302748,-0.808733912,-0.542657661,-0.400979539,-0.401988841,-0.518586211,BCL2 like 2,"BCL2L2 is a gene that belongs to the BCL-2 protein family and encodes a protein that acts as an anti-apoptotic regulator. The protein forms hetero- or homodimers and contributes to reduced cell apoptosis under cytotoxic conditions. Studies in mice have shown that the related gene plays a role in the survival of NGF- and BDNF-dependent neurons and is essential for adult spermatogenesis. Alternative splicing of the gene results in multiple transcript variants, and read-through transcription exists between BCL2L2 and the neighboring downstream PABPN1 gene.","BCL2L2 has been implicated in various diseases, including cancer, neurodegenerative disorders, and autoimmune diseases. In cancer, BCL2L2 overexpression has been observed in several types of tumors, including breast, lung, and ovarian cancers, and is associated with poor prognosis. Targeted drug discovery efforts have focused on developing small molecule inhibitors of BCL2L2 to induce apoptosis in cancer cells. One example is ABT-737, a BH3 mimetic that binds to BCL2L2 and other anti-apoptotic BCL-2 family members, leading to apoptosis in cancer cells. Another example is Venetoclax, a selective BCL2L2 inhibitor that has been approved for the treatment of chronic lymphocytic leukemia and small lymphocytic lymphoma. Venetoclax has also shown promising results in clinical trials for other types of cancer, including multiple myeloma and acute myeloid leukemia.",GO:1905430 cellular response to glycine;GO:1905429 response to glycine;GO:0060011 Sertoli cell proliferation,,Transporters:Transporter channels and pores; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers,Nucleoplasm (Uncertain),Navitoclax,(M145)PID P53 DOWNSTREAM PATHWAY,(M5902)HALLMARK APOPTOSIS
ENSG00000196455.8,PIK3R4,-0.728279745,-0.601270111,-1.162392241,-1.064331521,-0.840608011,-0.739850526,-0.706498968,-1.021386315,-0.661799651,-0.859533125,-0.907898807,-0.567472186,-0.676726317,-0.280096742,-0.800885493,-1.087813536,-0.482598107,-0.51958881,-0.128284939,phosphoinositide-3-kinase regulatory subunit 4,"PIK3R4 is a human gene that encodes a protein called phosphoinositide-3-kinase regulatory subunit 4. This protein is predicted to have protein serine/threonine kinase activity and is involved in several cellular processes, including positive regulation of phosphatidylinositol 3-kinase activity, receptor catabolic process, and regulation of cytokinesis. PIK3R4 is located in the late endosome and microtubule cytoskeleton.","PIK3R4 has been implicated in several diseases, including cancer, inflammation, and immune disorders. In cancer, PIK3R4 has been shown to play a role in tumor growth and metastasis, making it a potential target for cancer therapy. Inflammatory diseases such as rheumatoid arthritis and inflammatory bowel disease have also been linked to PIK3R4 dysregulation. Targeted drug discovery efforts have focused on developing inhibitors of PIK3R4 to treat these diseases. One example is the drug idelalisib, which targets PIK3R4 and is approved for the treatment of chronic lymphocytic leukemia and follicular lymphoma. Another example is the drug duvelisib, which also targets PIK3R4 and is approved for the treatment of relapsed or refractory chronic lymphocytic leukemia and small lymphocytic lymphoma. These drugs have shown promising results in clinical trials and provide hope for patients with these diseases.",GO:0000425 pexophagy;GO:0030242 autophagy of peroxisome;GO:0032801 receptor catabolic process,yes,Enzymes; Predicted intracellular proteins; Kinases; ENZYME proteins:Transferases,Microtubules;Primary cilium;Vesicles (Approved); Additional: Basal body;Cytokinetic bridge,,,
ENSG00000133030.22,MPRIP,-0.727547304,-2.156001744,-0.704845841,-0.461796818,-0.951192775,-0.701984493,-0.319135663,-0.61123347,-0.688284973,-0.459456631,-0.291369729,-0.671111933,-1.528061604,-1.090723435,-0.383659259,-1.241710939,-0.271901399,-0.397529595,-0.165851167,myosin phosphatase Rho interacting protein,"MPRIP, or myosin phosphatase Rho interacting protein, is a gene that is involved in actin filament organization and enables cadherin binding activity. It is located in both the actin cytoskeleton and cytosol. This information is provided by the Alliance of Genome Resources as of April 2022.","MPRIP has been implicated in several diseases, including cancer, cardiovascular disease, and neurological disorders. In cancer, MPRIP has been shown to play a role in tumor cell migration and invasion, making it a potential target for cancer therapy. In cardiovascular disease, MPRIP has been linked to smooth muscle cell contraction and blood vessel remodeling, suggesting it may be a target for drugs aimed at treating hypertension and other cardiovascular conditions. In neurological disorders, MPRIP has been associated with synaptic plasticity and memory formation, making it a potential target for drugs aimed at treating cognitive impairments.

There are currently no drugs on the market that specifically target MPRIP. However, there have been efforts to develop drugs that target related proteins in the Rho signaling pathway, which MPRIP is a part of. For example, the drug fasudil targets Rho kinase, a downstream effector of Rho signaling, and is used to treat cerebral vasospasm and pulmonary hypertension. Another drug, Y-27632, also targets Rho kinase and has shown promise in treating glaucoma and other ocular diseases.

Overall, while there is still much to learn about the role of MPRIP in disease, its involvement in several key cellular processes makes it a promising target for drug discovery efforts.",,,Predicted intracellular proteins,Actin filaments (Supported); Additional: Cytosol,,,
ENSG00000107669.18,ATE1,-0.721680924,-1.577545276,-0.868385509,-1.058823317,-0.556922261,-0.676938074,-1.776852191,-0.748517192,-0.803187344,-0.557973703,-1.181705565,-0.581877412,-0.4673995,-0.119618739,-0.255742884,-1.052718693,-0.334561122,-0.256539361,-0.114948489,arginyltransferase 1,"The ATE1 gene encodes an enzyme called arginyltransferase 1, which is responsible for adding arginine to the N-terminal aspartate or glutamate residues of proteins. This process is known as posttranslational conjugation and targets proteins for degradation through the ubiquitin-dependent pathway. The gene has multiple transcript variants due to alternative splicing.","Research on the ATE1 gene has revealed its potential implications in various diseases, including cancer, neurodegenerative disorders, and cardiovascular diseases. Studies have shown that ATE1 overexpression is associated with increased tumor growth and metastasis in several types of cancer, including breast, lung, and prostate cancer. Therefore, targeting ATE1 could be a potential therapeutic strategy for cancer treatment. Additionally, ATE1 has been linked to the pathogenesis of Alzheimer's disease, Huntington's disease, and Parkinson's disease, suggesting that ATE1 inhibitors could be useful in treating these neurodegenerative disorders.

Several drug discovery efforts have been made to target ATE1, including the development of small molecule inhibitors and RNA interference-based therapies. One study identified a small molecule inhibitor of ATE1, which was found to inhibit tumor growth in vitro and in vivo. Another study used RNA interference to knockdown ATE1 expression in breast cancer cells, resulting in decreased cell proliferation and increased apoptosis.

Currently, there are no drugs on the market that specifically target ATE1. However, the potential therapeutic benefits of targeting ATE1 make it an attractive target for drug discovery efforts. Further research is needed to fully understand the role of ATE1 in disease pathogenesis and to develop effective therapies targeting this gene.",GO:0016598 protein arginylation;GO:0006979 response to oxidative stress;GO:0010498 proteasomal protein catabolic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Transferases,Nucleoplasm (Supported),,,
