genes,symbol,average_foldchange,DLBC,UVM,ACC,SARC,THYM,BRCA,BLCA,LIHC,CHOL,KICH,KIRP,LUSC,HNSC,KIRC,THCA,LUAD,GBM,PCPG,ESCA,LGG,PAAD,READ,COAD,STAD,Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000254909.1,AP003392.2,-0.913429171,-2.196898,-1.788557,-0.6053973,-1.309709,-1.275204,-1.361532,-1.43574,-1.188106,-1.023056,-0.2641993,-0.8126639,-0.966834,-1.069213,-0.7289547,-0.4156698,-0.6740898,-1.686973,-0.564463,-0.3010902,-0.357079,-0.5004118,-0.4469671,-0.7174161,-0.2320761,None,None,None,None,None,None,None,None
ENSG00000246859.3,STARD4-AS1,-0.881912808,-2.798707,-1.911658,-0.2914317,-1.363146,-0.7491118,-0.7241408,-1.101446,-1.765803,-1.621758,-0.6711438,-1.085551,-0.3201953,-1.254766,-0.4194424,-0.3333157,-0.5972223,-1.399448,-0.4160559,-0.0852148,-0.3843596,-0.4308818,-0.5678233,-0.6346882,-0.238597,,,,,,,,
ENSG00000243406.6,MRPS31P5,-0.873754271,-1.975715,-1.314151,-1.356803,-1.104534,-1.463645,-1.151625,-1.104998,-1.214447,-0.9804366,-1.06188,-0.7122462,-0.9093146,-1.057705,-0.3718342,-0.4581609,-0.714829,-1.050915,-0.7281486,-0.6857801,-0.3675269,-0.2564875,-0.2312634,-0.6029247,-0.0947318,None,None,None,None,None,None,None,None
ENSG00000183458.14,PKD1P3,-0.869579858,-2.78472,-1.247839,-1.104601,-1.699778,-1.627884,-0.938442,-0.9586116,-1.457215,-0.8440028,-0.06164032,-0.6682528,-0.8482345,-1.050276,-0.6879217,-0.4515302,-0.4353608,-1.215802,-0.7983507,-0.09463461,-0.4990832,-0.4116679,-0.597644,-0.3764163,-0.01000817,,,,,,,,
ENSG00000285979.1,AC009090.6,-0.84978289,-2.055547,-1.734272,-0.6923612,-1.426685,-1.570113,-0.7829132,-1.339408,-1.444069,-0.4861382,-0.09688753,-0.9041043,-0.8650071,-1.329418,-0.4707243,-0.4030325,-0.6063107,-1.428549,-0.551777,-0.3506623,-0.3733145,-0.3514559,-0.4112667,-0.6333516,-0.08742133,None,None,None,None,None,None,None,None
ENSG00000005889.16,ZFX,-0.81463839,-1.310488626,-1.383927503,-0.851051781,-0.954204208,-1.066071958,-0.515158333,-1.138834983,-0.996659664,-0.770620265,-0.697424985,-0.786298605,-0.434849548,-0.924353008,-0.693679889,-0.695192823,-0.667035101,-0.748233622,-0.73185687,-0.790308516,-0.739061548,-0.643774041,-0.519392221,-0.681104557,-0.811738699,"ZFX has been implicated in several diseases, including cancer and autoimmune disorders. In cancer, ZFX has been shown to be overexpressed in various types of tumors, including breast, lung, and ovarian cancers, and is associated with poor prognosis and resistance to chemotherapy. Targeting ZFX with small molecule inhibitors or RNA interference has been explored as a potential therapeutic strategy for cancer treatment. However, there are currently no drugs on the market that specifically target ZFX.

In autoimmune disorders, ZFX has been identified as a potential target for the development of novel therapies. Studies have shown that ZFX is involved in the regulation of immune cell differentiation and function, and its dysregulation has been linked to the development of autoimmune diseases such as systemic lupus erythematosus and multiple sclerosis. Targeting ZFX with small molecule inhibitors or gene therapy approaches may offer a promising avenue for the treatment of these diseases.

Overall, while ZFX has been implicated in several diseases, there are currently no drugs on the market that specifically target this gene. However, ongoing research efforts are focused on identifying and developing novel therapies that target ZFX for the treatment of cancer and autoimmune disorders.",GO:0045944 positive regulation of transcription by RNA polymerase II;GO:0045893 positive regulation of DNA-templated transcription;GO:1902680 positive regulation of RNA biosynthetic process,,Predicted intracellular proteins; Transcription factors:Zinc-coordinating DNA-binding domains,Nucleoplasm (Approved); Additional: Nucleoli,,,
ENSG00000166004.15,CEP295,-0.787335003,-2.740841,-1.069151,-1.353911,-1.293319,-1.410612,-0.9007663,-0.9499105,-1.217562,-1.412065,-0.7509494,-0.5704917,-0.1569878,-1.225262,-0.3760672,-0.4681638,-0.1886544,-0.7746847,-0.7655846,-0.005226343,-0.4238234,-0.3853473,-0.2786264,-0.1541075,-0.02392572,"There is limited information available on the disease implications of CEP295 mutations. However, recent studies have suggested that mutations in CEP295 may be associated with the development of certain types of cancer, including breast cancer and lung adenocarcinoma. Targeted drug discovery efforts for CEP295 are still in the early stages, but there is potential for the development of drugs that target the protein's role in centrosome duplication and microtubule binding. Currently, there are no drugs on the market that specifically target CEP295, but there are drugs that target microtubules, such as paclitaxel and vinblastine, which have been successful in treating various types of cancer. Further research is needed to fully understand the role of CEP295 in disease and to develop targeted therapies.",GO:0010825 positive regulation of centrosome duplication;GO:1901985 positive regulation of protein acetylation;GO:1903724 positive regulation of centriole elongation,,Predicted intracellular proteins,,,,
ENSG00000101846.8,STS,-0.781645207,-0.721999685,-1.074331367,-1.900830717,-0.834106961,-0.714831823,-0.749136715,-0.531666344,-0.815086151,-1.346667436,-1.047930997,-0.624160914,-1.129902514,-0.136897204,-0.504139691,-0.398712618,-0.979197884,-0.126966608,-0.401676009,-1.610418258,-0.51680136,-0.511441317,-0.816134992,-0.42903448,-0.837412913,"X-linked ichthyosis (XLI) is a genetic disorder caused by mutations in the STS gene. The condition affects males and is characterized by dry, scaly skin that can be itchy and painful. There is currently no cure for XLI, but treatment options include topical creams and ointments to moisturize the skin and reduce itching. Targeted drug discovery efforts for XLI have focused on developing drugs that can increase the activity of the STS enzyme or replace the missing enzyme altogether. One example of a successful drug on the market is cholic acid, which has been shown to improve symptoms in some XLI patients by increasing the activity of the STS enzyme. Another potential treatment option is enzyme replacement therapy, which involves administering a functional copy of the STS enzyme to patients. However, more research is needed to determine the safety and efficacy of these treatments for XLI.",GO:0006706 steroid catabolic process;GO:0007565 female pregnancy;GO:0044703 multi-organism reproductive process,,Human disease related genes:Congenital disorders of metabolism:Congenital disorders of lipid/glycolipid metabolism; Human disease related genes:Congenital malformations:Congenital malformations of skin,,Irosustat; 2-Amino-3-Oxo-4-Sulfo-Butyric Acid,,(M5949)HALLMARK PEROXISOME
ENSG00000166333.14,ILK,-0.753637168,-1.918825,-1.435705,-0.2001565,-1.428432,-1.456676,-0.7922172,-0.6844126,-0.9856039,-1.252215,-0.06414242,-0.5178269,-0.7302008,-1.037312,-0.443946,-0.1355571,-0.7054566,-1.691998,-0.4868219,-0.406023,-0.2486981,-0.3027573,-0.2647538,-0.4659682,-0.4315867,"The ILK gene has been implicated in various diseases, including cancer, cardiovascular disease, and muscular dystrophy. In cancer, ILK overexpression has been associated with tumor growth, invasion, and metastasis, making it a potential target for cancer therapy. Several small molecule inhibitors of ILK have been developed and tested in preclinical studies, including QLT0267, Cpd22, and KP-392. However, none of these inhibitors have yet been approved for clinical use. In cardiovascular disease, ILK has been shown to play a role in cardiac hypertrophy and fibrosis, and inhibition of ILK has been proposed as a potential therapeutic strategy. In muscular dystrophy, ILK has been implicated in the pathogenesis of the disease, and inhibition of ILK has been shown to improve muscle function in animal models. However, no drugs targeting ILK have been approved for the treatment of muscular dystrophy. Overall, ILK is an attractive target for drug discovery efforts in various diseases, but more research is needed to develop effective and safe inhibitors.",GO:0072697 protein localization to cell cortex;GO:0070836 caveola assembly;GO:0044854 plasma membrane raft assembly,yes,ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Enzymes; Kinases:TKL Ser/Thr protein kinases,Focal adhesion sites (Supported); Additional: Actin filaments;Cytosol;Nucleoplasm,,(M12771)SA PTEN PATHWAY; (M63)PID AVB3 OPN PATHWAY; (M71)PID ILK PATHWAY,
ENSG00000144426.18,NBEAL1,-0.752096611,-1.74696,-1.367982,-1.764399,-1.406846,-1.062804,-0.4929693,-1.246142,-0.8753105,-1.021304,-0.9869672,-0.4150236,-0.5463895,-0.8484358,-0.5052954,-0.4627411,-0.3149939,-0.7589169,-0.4141315,-0.05945747,-0.4977678,-0.1895515,-0.6337668,-0.2560007,-0.1761627,"NBEAL1 has been linked to several neurological disorders, including autism and schizophrenia. In a study of individuals with autism, a rare genetic variant in NBEAL1 was identified as a potential risk factor for the disorder. Additionally, a study of schizophrenia patients found that NBEAL1 expression was significantly decreased in the prefrontal cortex, a brain region implicated in the disorder. 

There are currently no targeted drug discovery efforts specifically focused on NBEAL1. However, there are drugs on the market that target related pathways. For example, antipsychotic drugs such as risperidone and aripiprazole target dopamine and serotonin receptors, which are implicated in schizophrenia. Additionally, drugs that target the glutamate system, such as ketamine and esketamine, have shown promise in treating depression and may have potential for other neurological disorders. 

Overall, further research is needed to fully understand the role of NBEAL1 in disease and to develop targeted therapies for disorders associated with this gene.",GO:0008104 protein localization;GO:0070727 cellular macromolecule localization;GO:0033036 macromolecule localization,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,,,
ENSG00000102908.22,NFAT5,-0.745484215,-1.922398892,-0.784269108,-0.830201764,-1.297366772,-1.373714756,-0.778707847,-1.177700616,-1.178557144,-1.234332342,-0.221154861,-1.080791383,-0.376223899,-0.836653351,-0.345520813,-0.55245764,-0.382100445,-1.014646095,-0.607448652,-0.098699921,-0.42242147,-0.32693214,-0.21981214,-0.511003181,-0.318505929,"NFAT5 dysregulation has been implicated in various diseases, including cancer, autoimmune disorders, and cardiovascular diseases. In cancer, NFAT5 has been shown to promote tumor growth and metastasis by regulating the expression of genes involved in cell proliferation, angiogenesis, and invasion. In autoimmune disorders, NFAT5 has been linked to the development of autoimmune responses by regulating the differentiation and function of immune cells. In cardiovascular diseases, NFAT5 has been shown to play a role in the regulation of blood pressure and cardiac hypertrophy.

Targeted drug discovery efforts for NFAT5 have focused on developing small molecule inhibitors that can block its activity. Several compounds have been identified that can inhibit NFAT5 activity, including the natural product celastrol and the synthetic compound 11R-VIVIT. These compounds have shown promise in preclinical studies for the treatment of cancer and autoimmune disorders.

One example of a successful drug on the market that targets NFAT5 is cyclosporine A, which is used as an immunosuppressant in organ transplantation and autoimmune disorders. Cyclosporine A works by inhibiting the activity of NFAT5 and other members of the NFAT family, thereby suppressing the immune response. However, its use is limited by its side effects, including nephrotoxicity and increased risk of infections.",GO:0062176 R-loop processing;GO:0071474 cellular hyperosmotic response;GO:0033173 calcineurin-NFAT signaling cascade,,Predicted intracellular proteins; Transcription factors:Immunoglobulin fold,Nucleoplasm (Enhanced); Additional: Cytosol,,,(M5890)HALLMARK TNFA SIGNALING VIA NFKB
ENSG00000239883.8,PARGP1,-0.694201954,-1.575825,-1.345858,-1.273208,-1.071461,-1.239612,-0.6164193,-0.7258169,-1.186377,-0.2982942,-0.3002052,-0.850159,-0.5137575,-0.7498316,-0.6576503,-0.3222292,-0.3796151,-1.144442,-0.5214897,-0.3840376,-0.345444,-0.3093626,-0.4112285,-0.3090884,-0.1294348,None,None,None,None,None,None,None,None
ENSG00000126012.12,KDM5C,-0.660301563,-1.247234,-0.7537921,-0.6778877,-0.6969702,-0.7088358,-0.5030834,-0.5636799,-0.8569316,-0.8201717,-0.5828251,-0.7319209,-0.5928899,-0.791635,-0.7586401,-0.628691,-0.4682178,-0.6390283,-0.5065998,-0.5466394,-0.5706355,-0.5570196,-0.6346155,-0.5269972,-0.482296,"Mutations in KDM5C have been linked to X-linked intellectual disability (XLID), a condition that affects cognitive function and development. XLID is a genetically heterogeneous disorder, and KDM5C mutations account for approximately 5% of cases. Targeted drug discovery efforts for KDM5C-related XLID are still in the early stages, but there is potential for epigenetic therapies that target the protein's histone demethylase activity. Currently, there are no drugs specifically targeting KDM5C-related XLID on the market. However, there are drugs that target other forms of intellectual disability, such as Risperdal and Abilify, which are used to treat symptoms of autism spectrum disorder and schizophrenia. These drugs act on neurotransmitter systems in the brain and can improve cognitive function and behavior in some patients.",GO:0048511 rhythmic process;GO:0006338 chromatin remodeling;GO:0006325 chromatin organization,,Transcription factors:Helix-turn-helix domains; Disease related genes; Human disease related genes:Other diseases:Mental and behavioural disorders; Predicted intracellular proteins; Potential drug targets; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes; Enzymes; ENZYME proteins:Oxidoreductases,Nucleoplasm (Enhanced); Additional: Cytosol,,,
ENSG00000215301.11,DDX3X,-0.654084438,-1.03022,-0.8147474,-1.04994,-0.7442112,-0.8454566,-0.6709056,-0.6599309,-0.61845,-0.9643758,-0.8493502,-0.5560563,-0.4384428,-0.6731817,-0.7593581,-0.6769072,-0.3485153,-0.4658639,-0.6115543,-0.5889421,-0.4788569,-0.5299727,-0.511021,-0.3912185,-0.420548,"DDX3X has been implicated in various diseases, including cancer, viral infections, and neurological disorders. In cancer, DDX3X has been shown to be overexpressed in several types of tumors, including breast, lung, and liver cancer, and its overexpression is associated with poor prognosis. Targeting DDX3X has been explored as a potential therapeutic strategy for cancer, and several small molecule inhibitors have been developed that target its ATPase activity. One example is RK-33, which has been shown to inhibit the growth of breast cancer cells in vitro and in vivo. In viral infections, DDX3X plays a critical role in the replication of several viruses, including HIV, hepatitis C virus, and Zika virus. Targeting DDX3X has been explored as a potential antiviral strategy, and several small molecule inhibitors have been developed that show promising activity against these viruses. One example is DDX3X-IN-1, which has been shown to inhibit the replication of HIV and hepatitis C virus in vitro. In neurological disorders, DDX3X mutations have been identified in patients with intellectual disability, autism spectrum disorder, and other neurodevelopmental disorders. However, there are currently no targeted drug discovery efforts for these disorders.",GO:0034159 regulation of toll-like receptor 8 signaling pathway;GO:0034161 positive regulation of toll-like receptor 8 signaling pathway;GO:0034157 positive regulation of toll-like receptor 7 signaling pathway,,Transporters:Transporter channels and pores; Human disease related genes:Other diseases:Mental and behavioural disorders; Predicted intracellular proteins; Potential drug targets; Cancer-related genes:Mutated cancer genes; Enzymes; ENZYME proteins:Hydrolases; Disease related genes,Cytosol (Enhanced),,,
ENSG00000130021.15,PUDP,-0.617622534,-0.6970064,-0.8939201,-1.040414,-0.5817486,-0.4780962,-0.3233943,-0.7972935,-0.4916172,-0.8784378,-0.7598734,-0.7633553,-0.7432231,-0.6232176,-0.5942697,-0.5769867,-0.5112956,-0.08777632,-0.3115802,-0.8457815,-0.4340075,-0.6194959,-0.608751,-0.6454817,-0.5159172,"Unfortunately, there is currently no information available on any disease implications or targeted drug discovery efforts for the PUDP gene. As mentioned earlier, the gene has no known biological function, and its role in disease development or progression is not yet understood. Therefore, there are no drugs on the market that target this gene specifically. However, it is possible that future research may uncover potential disease associations or therapeutic targets related to PUDP, which could lead to the development of new drugs.",GO:0009117 nucleotide metabolic process;GO:0006753 nucleoside phosphate metabolic process;GO:0055086 nucleobase-containing small molecule metabolic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Hydrolases,Nucleoplasm (Approved); Additional: Cytosol,,,
ENSG00000086712.13,TXLNG,-0.595877335,-1.484798105,-0.700781765,-0.506566228,-0.942922409,-0.657763418,-0.421662067,-0.788060044,-0.735208981,-0.802019332,-0.712015675,-0.530128071,-0.449427434,-0.859172962,-0.541247602,-0.498174886,-0.521580084,-0.370632091,-0.369347547,-0.568015087,-0.382039797,-0.524612582,-0.168280418,-0.333422962,-0.433176493,"There is limited information available on the disease implications of TXLNG. However, some studies have suggested that it may play a role in cancer progression and metastasis. Targeted drug discovery efforts for TXLNG are also limited, as the function of the protein is not well understood. Currently, there are no drugs on the market that specifically target TXLNG. However, there are drugs that target related proteins involved in intracellular vesicle trafficking, such as botulinum toxin, which is used to treat muscle spasms and wrinkles, and tetrodotoxin, which is used as a local anesthetic. Further research is needed to fully understand the role of TXLNG in disease and to develop targeted therapies.",GO:0030500 regulation of bone mineralization;GO:0070167 regulation of biomineral tissue development;GO:0030278 regulation of ossification,,Predicted intracellular proteins,Cytosol (Approved),,(M65)PID FRA PATHWAY,
ENSG00000072501.19,SMC1A,-0.537224657,-1.391657629,-0.45663782,-0.864653214,-0.938260895,-0.670236846,-0.142787944,-0.639165758,-0.731892008,-0.638627245,-0.589592484,-0.550723595,-0.231741547,-0.325480626,-0.605450244,-0.512443198,-0.166223815,-0.684176379,-0.22930265,-0.579925213,-0.410303476,-0.472302336,-0.443697192,-0.324563308,-0.293546339,"Mutations in the SMC1A gene have been linked to Cornelia de Lange syndrome (CdLS), a rare genetic disorder characterized by developmental abnormalities, intellectual disability, and distinctive facial features. There is currently no cure for CdLS, and treatment is mainly supportive and focused on managing symptoms. However, research efforts are underway to identify potential drug targets for CdLS and other disorders associated with cohesin dysfunction. One such target is the protein kinase Aurora B, which plays a critical role in regulating chromosome segregation during cell division. Several Aurora B inhibitors, such as AZD1152 and VX-680, have shown promise in preclinical studies and are being evaluated in clinical trials for various types of cancer. While these drugs have not yet been approved for the treatment of CdLS, they represent a potential avenue for targeted therapy in the future.",GO:0034089 establishment of meiotic sister chromatid cohesion;GO:0034087 establishment of mitotic sister chromatid cohesion;GO:0072396 response to cell cycle checkpoint signaling,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Nervous system diseases:Epilepsy; Disease related genes,Nucleoplasm (Enhanced); Additional: Cytosol,,(M84)PID ATM PATHWAY,(M5893)HALLMARK MITOTIC SPINDLE; (M5901)HALLMARK G2M CHECKPOINT; (M5925)HALLMARK E2F TARGETS
ENSG00000164066.13,INTU,-0.535276923,-1.14908,-2.173177,-0.1607896,-1.829987,-0.6401904,-0.5415885,-0.2589684,-0.6778649,-0.3390931,-0.2914097,-0.5200688,-0.465038,-0.08190382,-0.1958183,-0.19938,-0.2460667,-1.148541,-0.5416807,-0.0836284,-0.424303,-0.2982883,-0.06513808,-0.08288185,-0.4317606,"There is currently limited information available on targeted drug discovery efforts for INTU. However, mutations in this gene have been linked to two genetic disorders, asphyxiating thoracic dystrophy and orofaciodigital syndrome XVII. Asphyxiating thoracic dystrophy is a rare genetic disorder that affects the development of bones and other tissues in the body, leading to severe respiratory problems and often resulting in early death. Orofaciodigital syndrome XVII is a rare genetic disorder that affects the development of the face, hands, and feet, leading to various abnormalities and intellectual disability.

There are currently no drugs on the market specifically targeting INTU. However, there are drugs available that can help manage the symptoms of the genetic disorders associated with INTU mutations. For example, in the case of asphyxiating thoracic dystrophy, treatment may involve respiratory support, surgery to correct bone abnormalities, and medications to manage symptoms such as seizures and gastroesophageal reflux. In the case of orofaciodigital syndrome XVII, treatment may involve surgery to correct facial and limb abnormalities, as well as medications to manage symptoms such as seizures and intellectual disability.",GO:0043587 tongue morphogenesis;GO:0021513 spinal cord dorsal/ventral patterning;GO:0051782 negative regulation of cell division,,Predicted intracellular proteins; Human disease related genes:Congenital malformations:Other congenital malformations; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Disease related genes,Basal body (Approved); Additional: Cytosol;Vesicles,,,
ENSG00000066933.16,MYO9A,-0.479529469,-0.647881495,-0.865388785,-0.736161607,-0.892410248,-0.658707886,-0.59069625,-0.871179374,-0.629741025,-0.75328029,-0.066677995,-0.901600381,-0.119051355,-0.585973973,-0.38535627,-0.199402302,-0.313497579,-0.531402713,-0.268632653,-0.295438412,-0.291299986,-0.258749353,-0.222388828,-0.157383532,-0.26640497,"Mutations in the MYO9A gene have been linked to Bardet-Biedl Syndrome (BBS), a rare genetic disorder that affects multiple organ systems and causes vision loss, obesity, and other health problems. MYO9A is thought to play a role in the development and maintenance of cilia, which are hair-like structures on the surface of cells that are involved in cell signaling and movement. In BBS, cilia are often dysfunctional, leading to a range of symptoms.

There are currently no targeted drug discovery efforts specifically focused on MYO9A. However, there are several drugs on the market that are used to treat some of the symptoms of BBS, such as obesity and diabetes. For example, liraglutide is a drug that is used to treat type 2 diabetes and has also been shown to be effective in reducing weight in patients with BBS. Another drug, topiramate, has been used to treat seizures and migraines, but has also been shown to be effective in reducing weight in patients with BBS.

Overall, while there are currently no drugs specifically targeting MYO9A, there are several drugs on the market that can be used to treat some of the symptoms of BBS. Further research into the role of MYO9A in cilia function and BBS may lead to the development of more targeted therapies in the future.",GO:0150011 regulation of neuron projection arborization;GO:0045198 establishment of epithelial cell apical/basal polarity;GO:0035089 establishment of apical/basal cell polarity,,Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Disease related genes,Plasma membrane (Approved),,,
ENSG00000006757.12,PNPLA4,-0.478740599,-0.402211385,-0.834555555,-0.195922314,-0.597710628,-0.389467736,-0.590953958,-0.374405419,-0.379145298,-0.030042785,-0.643936411,-0.683272613,-0.272200261,-0.811686539,-0.553353208,-0.6894977,-0.539308039,-0.39451213,-0.544644295,-0.117798872,-0.507116969,-0.648363604,-0.235443989,-0.574525076,-0.479699585,"Research has linked variations in the PNPLA4 gene to several diseases, including non-alcoholic fatty liver disease (NAFLD), obesity, and type 2 diabetes. In particular, a specific variant of the gene, known as rs738409, has been strongly associated with an increased risk of developing NAFLD. This has led to efforts to develop drugs that target PNPLA4 as a potential treatment for NAFLD and related conditions. One such drug is Aramchol, which is currently in clinical trials and has shown promising results in reducing liver fat accumulation. Another drug, called ATGL inhibitor, has been shown to reduce adipose tissue inflammation and improve insulin sensitivity in animal models, but it is still in the early stages of development. Overall, targeting PNPLA4 may hold promise for the development of new treatments for metabolic disorders, but more research is needed to fully understand its role in disease and to develop effective therapies.",GO:0019433 triglyceride catabolic process;GO:0046461 neutral lipid catabolic process;GO:0046464 acylglycerol catabolic process,,Predicted intracellular proteins; Potential drug targets; Enzymes; ENZYME proteins:Hydrolases; Disease related genes,,,,
