genes,baseID,symbol,average_foldchange,HNSC,LIHC,KIRP,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000162144.10,ENSG00000162144,CYB561A3,-1.03867665,-1.585361765,-1.046824094,-0.483844092,cytochrome b561 family member A3,CYB561A3 is a human gene that belongs to the cytochrome b561 family member A3. It is predicted to have transmembrane ascorbate ferrireductase activity and to be involved in cellular iron ion homeostasis. The gene is located in the nucleolus. This information is provided by the Alliance of Genome Resources as of April 2022.,"Unfortunately, there is currently limited information available on the disease implications and targeted drug discovery efforts for CYB561A3. As of April 2022, there are no known diseases associated with mutations in this gene. Additionally, there are no drugs currently on the market that specifically target CYB561A3. However, given its predicted role in cellular iron ion homeostasis, it is possible that future research may identify potential therapeutic targets for diseases related to iron dysregulation. Further studies are needed to fully understand the function of CYB561A3 and its potential implications for human health.",GO:0006879 intracellular iron ion homeostasis;GO:0030003 intracellular monoatomic cation homeostasis;GO:0006873 intracellular monoatomic ion homeostasis,,ENZYME proteins; Enzymes; Predicted intracellular proteins,Vesicles (Approved); Additional: Nucleoli,,,
ENSG00000182768.9,ENSG00000182768,NGRN,-1.038353035,-1.820235609,-1.248266515,-0.046556982,"neugrin, neurite outgrowth associated","Neugrin, also known as NGRN, is a human gene that is associated with neurite outgrowth. It enables rRNA binding activity and is involved in positive regulation of mitochondrial translation. The gene is located in several cellular components, including intercellular bridge, mitotic spindle, and nuclear body. The function of neugrin is not fully understood, but it is believed to play a role in the development and maintenance of the nervous system. Mutations in the NGRN gene have been linked to various neurological disorders, including schizophrenia and bipolar disorder.","Mutations in the NGRN gene have been linked to various neurological disorders, including schizophrenia and bipolar disorder. Studies have shown that NGRN expression is reduced in the brains of individuals with schizophrenia, suggesting that it may play a role in the development of the disease. Targeted drug discovery efforts for NGRN are still in the early stages, but there is potential for the development of drugs that can modulate its activity. Currently, there are no drugs on the market that specifically target NGRN, but there are drugs used to treat schizophrenia and bipolar disorder that indirectly affect its activity. For example, antipsychotic drugs such as risperidone and olanzapine have been shown to increase NGRN expression in the brain.",GO:0061668 mitochondrial ribosome assembly;GO:0070131 positive regulation of mitochondrial translation;GO:0070129 regulation of mitochondrial translation,,Predicted intracellular proteins,Mitochondria (Supported); Additional: Cytokinetic bridge;Nucleoplasm,,,
ENSG00000047188.16,ENSG00000047188,YTHDC2,-1.038096523,-0.925523708,-0.915792488,-1.272973372,YTH N6-methyladenosine RNA binding protein C2,"YTHDC2 is a gene that encodes a protein belonging to the DEAH subfamily of RNA helicases. The protein binds to N6-methyladenosine, a modified RNA nucleotide that is enriched in the stop codons and 3' UTRs of eukaryotic messenger RNAs. The binding of proteins to this modified nucleotide may regulate mRNA translation and stability. The gene may be associated with susceptibility to pancreatic cancer in human patients, and knockdown of this gene resulted in reduced proliferation in a human liver cancer cell line.","There is limited information available on the disease implications of YTHDC2. However, studies have suggested that the gene may be associated with susceptibility to pancreatic cancer in human patients. Additionally, knockdown of this gene resulted in reduced proliferation in a human liver cancer cell line, indicating a potential role in cancer development and progression.

As of now, there are no targeted drug discovery efforts specifically focused on YTHDC2. However, the protein it encodes, which binds to N6-methyladenosine, is a potential target for drug development. Several drugs targeting N6-methyladenosine have been developed and are currently in clinical trials for various types of cancer. For example, the drug MK-8628, which inhibits the METTL3 enzyme responsible for adding the N6-methyladenosine modification, is being tested in clinical trials for acute myeloid leukemia and solid tumors.

In summary, while there is limited information available on the disease implications of YTHDC2, the protein it encodes may be a potential target for drug development. Several drugs targeting the N6-methyladenosine modification are currently in clinical trials for various types of cancer.","GO:0051729 germline cell cycle switching, mitotic to meiotic cell cycle;GO:0051728 cell cycle switching, mitotic to meiotic cell cycle;GO:0060184 cell cycle switching",,ENZYME proteins:Hydrolases; Enzymes; Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytoplasmic bodies;Nuclear bodies,,,
ENSG00000108021.20,ENSG00000108021,TASOR2,-1.037213535,-1.362083338,-0.905565763,-0.843991504,transcription activation suppressor family member 2,"TASOR2, also known as transcription activation suppressor family member 2, is a human gene that is located in both the cytosol and nucleoplasm. The function of this gene is not yet fully understood, but it is believed to play a role in regulating gene expression. TASOR2 is a member of the transcription activation suppressor family, which includes proteins that can inhibit the activity of transcription factors and other proteins involved in gene expression. Further research is needed to fully understand the function of TASOR2 and its potential role in human health and disease.","Unfortunately, there is currently limited information available on the disease implications and targeted drug discovery efforts for TASOR2. As the function of this gene is not yet fully understood, it is difficult to determine its potential role in disease. However, research on other members of the transcription activation suppressor family has suggested that they may be involved in cancer and other diseases related to abnormal gene expression. 

To date, there are no drugs on the market that specifically target TASOR2. However, there are drugs that target other members of the transcription activation suppressor family, such as HDAC inhibitors, which are used to treat certain types of cancer. These drugs work by inhibiting the activity of histone deacetylases, which are enzymes that regulate gene expression. While it is unclear if TASOR2 is directly involved in cancer or other diseases, further research on this gene and its function may lead to the development of new targeted therapies in the future.","GO:0045814 negative regulation of gene expression, epigenetic;GO:0040029 epigenetic regulation of gene expression;GO:0006338 chromatin remodeling",,Predicted intracellular proteins,Nucleoplasm (Enhanced); Additional: Cytosol,,,
ENSG00000143398.20,ENSG00000143398,PIP5K1A,-1.035857753,-1.289214675,-1.243858064,-0.57450052,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,"PIP5K1A is a human gene that encodes for the protein phosphatidylinositol-4-phosphate 5-kinase type 1 alpha. This protein is involved in various cellular processes, including the activation of GTPase activity, focal adhesion assembly, and ruffle assembly. It has 1-phosphatidylinositol-4-phosphate 5-kinase activity and kinase binding activity. PIP5K1A is located in different cellular components, such as the lamellipodium, nuclear speck, and ruffle membrane. It also colocalizes with the mRNA cleavage and polyadenylation specificity factor complex.","There is evidence to suggest that PIP5K1A may play a role in the development and progression of certain diseases. For example, studies have shown that PIP5K1A expression is upregulated in various types of cancer, including breast, lung, and prostate cancer. Additionally, mutations in the PIP5K1A gene have been associated with a rare genetic disorder called cone-rod dystrophy, which affects the retina and can lead to vision loss.

Given its potential involvement in disease processes, PIP5K1A has been identified as a potential target for drug discovery efforts. Several small molecule inhibitors of PIP5K1A have been developed and tested in preclinical studies, with promising results. For example, one study found that a PIP5K1A inhibitor was able to reduce tumor growth in a mouse model of breast cancer.

However, to date, there are no drugs targeting PIP5K1A that have been approved for clinical use. Nonetheless, ongoing research in this area may lead to the development of new therapies for cancer and other diseases in the future.",GO:0097178 ruffle assembly;GO:0010761 fibroblast migration;GO:0031529 ruffle organization,yes,Enzymes; Cancer-related genes:Mutational cancer driver genes; Predicted intracellular proteins; ENZYME proteins:Transferases,Cytosol;Plasma membrane (Supported); Additional: Nucleoplasm,,(M120)PID ARF6 DOWNSTREAM PATHWAY; (M243)PID ARF 3PATHWAY; (M184)PID ECADHERIN KERATINOCYTE PATHWAY,
ENSG00000047315.17,ENSG00000047315,POLR2B,-1.035809559,-1.039306576,-1.527982232,-0.54013987,RNA polymerase II subunit B,"POLR2B is a gene that encodes the second largest subunit of RNA polymerase II (Pol II), which is responsible for transcribing DNA into precursors of mRNA, snRNA, and microRNA. This subunit, along with the largest subunit, forms opposite sides of the center cleft of Pol II. Deletion of the flap loop region of this subunit leads to a decrease in the rate of transcriptional elongation. Alternative splicing of the gene results in multiple transcript variants.","There is limited information on the disease implications of POLR2B mutations. However, recent studies have shown that mutations in this gene are associated with intellectual disability and developmental delay. Targeted drug discovery efforts for POLR2B are still in the early stages, but there is potential for developing drugs that target the flap loop region of the subunit to modulate transcriptional elongation. Currently, there are no drugs on the market that specifically target POLR2B. However, there are drugs that indirectly affect its function, such as the chemotherapy drug, cisplatin, which inhibits transcription by binding to DNA and interfering with Pol II activity. Additionally, the drug, alpha-amanitin, derived from the mushroom Amanita phalloides, inhibits Pol II activity by binding to the same region as the flap loop of POLR2B.",GO:0001172 RNA-templated transcription;GO:0001059 transcription by RNA polymerase IV;GO:0001060 transcription by RNA polymerase V,,Enzymes; RNA polymerase related proteins; Predicted intracellular proteins; ENZYME proteins:Transferases,Nucleoplasm (Supported),,,
ENSG00000134255.14,ENSG00000134255,CEPT1,-1.033991908,-1.018684322,-1.532310619,-0.550980783,choline/ethanolamine phosphotransferase 1,The CEPT1 gene encodes for a choline/ethanolamine phosphotransferase 1 enzyme that plays a crucial role in the synthesis of phospholipids containing choline or ethanolamine. Alternative splicing of the gene results in the production of multiple transcript variants.,"Mutations in the CEPT1 gene have been associated with several diseases, including non-alcoholic fatty liver disease (NAFLD), atherosclerosis, and Alzheimer's disease. In NAFLD, decreased expression of CEPT1 has been observed, leading to impaired phospholipid synthesis and accumulation of triglycerides in the liver. Targeted drug discovery efforts have focused on developing drugs that can modulate the activity of CEPT1 and improve phospholipid synthesis. One example is the drug bezafibrate, which has been shown to increase CEPT1 expression and improve liver function in patients with NAFLD. Another example is the drug edonerpic maleate, which targets CEPT1 to improve cognitive function in patients with Alzheimer's disease. These drugs demonstrate the potential of targeting CEPT1 for the treatment of various diseases.",GO:0006657 CDP-choline pathway;GO:0006646 phosphatidylethanolamine biosynthetic process;GO:0006656 phosphatidylcholine biosynthetic process,,Enzymes; Transporters; ENZYME proteins:Transferases,,,,
ENSG00000140262.18,ENSG00000140262,TCF12,-1.033948193,-1.554304046,-1.008679552,-0.53886098,transcription factor 12,"TCF12 is a gene that encodes a protein belonging to the basic helix-loop-helix E-protein family. This protein recognizes the consensus binding site CANNTG and is expressed in various tissues, including skeletal muscle, thymus, B- and T-cells. It may play a role in regulating lineage-specific gene expression by forming heterodimers with other bHLH E-proteins. The gene has several alternatively spliced transcript variants, but the full-length nature of some of these variants is unknown.","There is limited information on the disease implications of TCF12. However, some studies have suggested that mutations in this gene may be associated with intellectual disability and developmental disorders. Targeted drug discovery efforts for TCF12 are also limited, as the gene is not currently a major target for drug development. However, some studies have investigated the potential of targeting the bHLH E-protein family, to which TCF12 belongs, for cancer therapy. One example of a successful drug targeting this family is the FDA-approved drug omacetaxine mepesuccinate, which targets the bHLH E-protein family member, TEL-AML1. However, further research is needed to determine the potential of targeting TCF12 specifically for drug development.",GO:0097210 response to gonadotropin-releasing hormone;GO:0045666 positive regulation of neuron differentiation;GO:0045664 regulation of neuron differentiation,,Transcription factors:Basic domains; Predicted intracellular proteins; Human disease related genes:Endocrine and metabolic diseases:Hypothalamus and pituitary gland diseases; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes; Cancer-related genes:Mutational cancer driver genes,Nuclear speckles;Nucleoplasm (Supported),,,
ENSG00000175215.11,ENSG00000175215,CTDSP2,-1.033372382,-1.413337583,-1.017151857,-0.669627707,CTD small phosphatase 2,"CTDSP2, also known as CTD small phosphatase 2, is a human gene that encodes a protein involved in protein dephosphorylation. Specifically, it enables RNA polymerase II CTD heptapeptide repeat phosphatase activity. The protein is predicted to be located in the nucleoplasm. This information is provided by the Alliance of Genome Resources as of April 2022.","There is limited information available on the disease implications of CTDSP2. However, some studies have suggested that alterations in the expression of this gene may be associated with certain types of cancer, including breast cancer and hepatocellular carcinoma. Additionally, mutations in CTDSP2 have been linked to developmental disorders such as intellectual disability and autism spectrum disorder.

As for targeted drug discovery efforts, there are currently no drugs on the market that specifically target CTDSP2. However, some studies have identified potential small molecule inhibitors of the protein, which could be developed into therapeutic agents for the treatment of cancer and other diseases.

One example of a successful drug targeting a related protein is Fostamatinib, which targets the protein tyrosine phosphatase SYK and is used to treat rheumatoid arthritis. Another example is Imatinib, which targets the tyrosine kinase BCR-ABL and is used to treat chronic myeloid leukemia. While these drugs do not target CTDSP2 directly, they demonstrate the potential for targeted drug discovery efforts in the field of protein phosphatases.",GO:2000134 negative regulation of G1/S transition of mitotic cell cycle;GO:0006470 protein dephosphorylation;GO:1902807 negative regulation of cell cycle G1/S phase transition,,ENZYME proteins:Hydrolases; Enzymes; Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Mitochondria,,(M228)PID SMAD2 3PATHWAY; (M181)PID BMP PATHWAY; (M58)PID AR PATHWAY,
ENSG00000134744.14,ENSG00000134744,TUT4,-1.032154199,-1.297092298,-1.194610623,-0.604759676,terminal uridylyl transferase 4,"TUT4, also known as ZCCHC11, is an enzyme that adds uridines to the 3-prime end of RNA molecules. This process is called RNA uridylation and is important for regulating gene expression and RNA stability. TUT4 is a member of the terminal uridylyl transferase family and uses UTP as a substrate for uridylation. Dysregulation of TUT4 has been linked to various diseases, including cancer and neurological disorders. Understanding the function and regulation of TUT4 may provide insights into the development of new therapies for these diseases.","There is limited information available on targeted drug discovery efforts for TUT4, as it is a relatively new target for drug development. However, dysregulation of TUT4 has been linked to various diseases, including cancer and neurological disorders. In cancer, TUT4 has been shown to promote tumor growth and metastasis by regulating the stability of certain oncogenic RNAs. In neurological disorders, TUT4 has been implicated in the regulation of synaptic plasticity and memory formation. 

Currently, there are no drugs on the market that specifically target TUT4. However, there are drugs that target other enzymes involved in RNA processing, such as ribonucleotide reductase and RNA polymerase, which have shown promise in preclinical and clinical studies for the treatment of cancer and other diseases. Additionally, small molecule inhibitors of TUT4 have been identified in recent studies, which may serve as starting points for the development of new therapies targeting TUT4.",GO:1990074 polyuridylation-dependent mRNA catabolic process;GO:0141008 transposable element silencing by mRNA destabilization;GO:0071076 RNA 3' uridylation,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Transferases,Cytosol (Supported); Additional: Nucleoli,,,
ENSG00000060237.18,ENSG00000060237,WNK1,-1.031912165,-1.416471466,-0.873103808,-0.806161221,WNK lysine deficient protein kinase 1,"WNK1 is a gene that encodes a protein kinase belonging to the WNK subfamily. This protein is believed to play a crucial role in regulating blood pressure by controlling the transport of sodium and chloride ions. Mutations in WNK1 have been linked to two genetic disorders: pseudohypoaldosteronism type II and hereditary sensory neuropathy type II. The former is characterized by high blood pressure, low potassium levels, and metabolic acidosis, while the latter is a neurological disorder that affects the sensory nerves. Different isoforms of the protein have been identified through alternative splicing, but their full-length nature is yet to be determined.","WNK1 has been identified as a potential target for drug discovery efforts aimed at treating hypertension. Several small molecule inhibitors of WNK1 have been developed, including WNK463 and WNK463-like compounds, which have shown promising results in preclinical studies. However, these compounds have not yet been tested in clinical trials. In addition, WNK1 has been implicated in the pathogenesis of other diseases, including cancer, diabetes, and osteoporosis. For example, WNK1 has been shown to regulate the activity of the Wnt signaling pathway, which is involved in the development of several types of cancer. Several drugs targeting the Wnt pathway are currently in clinical trials, including LGK974 and OMP-54F28. However, the potential role of WNK1 in these diseases is still being investigated, and further research is needed to fully understand its therapeutic potential.",GO:0033633 negative regulation of cell-cell adhesion mediated by integrin;GO:0060566 positive regulation of termination of DNA-templated transcription;GO:1904595 positive regulation of termination of RNA polymerase II transcription,yes,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Predicted intracellular proteins; Kinases; Human disease related genes:Urinary system diseases:Kidney diseases; ENZYME proteins:Transferases; Potential drug targets; Disease related genes; Enzymes,Cytosol (Supported),,,
ENSG00000173193.15,ENSG00000173193,PARP14,-1.031826271,-1.353345214,-1.085911108,-0.65622249,poly(ADP-ribose) polymerase family member 14,PARP14 is a member of the poly(ADP-ribose) polymerase (PARP) protein family. It is an anti-apoptotic protein that may regulate aerobic glycolysis and promote the survival of cancer cells. The gene has been found to be overexpressed in various types of tumors.,"PARP14 has been implicated in various diseases, including cancer, autoimmune disorders, and neurodegenerative diseases. In cancer, PARP14 has been found to promote tumor growth and resistance to chemotherapy. Targeting PARP14 with small molecule inhibitors has been explored as a potential therapeutic strategy for cancer treatment. However, there are currently no PARP14-specific inhibitors on the market. 

One example of a successful PARP inhibitor is olaparib, which targets PARP1 and PARP2 and is approved for the treatment of ovarian and breast cancer with BRCA mutations. Other PARP inhibitors, such as rucaparib and niraparib, have also been approved for the treatment of ovarian cancer. However, these inhibitors do not specifically target PARP14. 

In autoimmune disorders, PARP14 has been found to play a role in the regulation of T cell activation and differentiation. Targeting PARP14 in autoimmune disorders may provide a potential therapeutic approach, but further research is needed to explore this possibility. 

In neurodegenerative diseases, PARP14 has been implicated in the regulation of microglial activation and neuroinflammation. Targeting PARP14 in these diseases may provide a potential therapeutic approach, but again, further research is needed to explore this possibility.",GO:1902216 positive regulation of interleukin-4-mediated signaling pathway;GO:0042532 negative regulation of tyrosine phosphorylation of STAT protein;GO:1902214 regulation of interleukin-4-mediated signaling pathway,,Predicted intracellular proteins,Cytosol (Supported),,(M28)PID IL4 2PATHWAY,(M5911)HALLMARK INTERFERON ALPHA RESPONSE; (M5913)HALLMARK INTERFERON GAMMA RESPONSE
ENSG00000142453.12,ENSG00000142453,CARM1,-1.0304105,-1.211258121,-1.338149395,-0.541823985,coactivator associated arginine methyltransferase 1,"CARM1, or coactivator associated arginine methyltransferase 1, is an enzyme that belongs to the protein arginine methyltransferase (PRMT) family. It is responsible for catalyzing the methylation of guanidino nitrogens of arginyl residues of proteins, specifically histones and other chromatin-associated proteins. CARM1 is involved in the regulation of gene expression and may act in association with other proteins or within multi-protein complexes. It may also play a role in cell type-specific functions and cell lineage specification. A related pseudogene is located on chromosome 9.","CARM1 has been implicated in various diseases, including cancer, cardiovascular disease, and neurodegenerative disorders. In cancer, CARM1 has been shown to promote tumor growth and metastasis by regulating gene expression and signaling pathways. Targeting CARM1 has emerged as a potential therapeutic strategy for cancer treatment. Several small molecule inhibitors of CARM1 have been developed and tested in preclinical studies, showing promising results in inhibiting tumor growth and metastasis. However, no CARM1 inhibitors have been approved for clinical use yet. In addition, CARM1 has also been implicated in cardiovascular disease and neurodegenerative disorders, such as Alzheimer's disease. Further research is needed to fully understand the role of CARM1 in these diseases and to develop effective therapies targeting CARM1.",GO:0071932 replication fork reversal;GO:2000171 negative regulation of dendrite development;GO:1904037 positive regulation of epithelial cell apoptotic process,,Enzymes; Cancer-related genes:Mutational cancer driver genes; Predicted intracellular proteins; ENZYME proteins:Transferases,Nucleoplasm (Enhanced),,(M151)PID AR TF PATHWAY; (M58)PID AR PATHWAY; (M145)PID P53 DOWNSTREAM PATHWAY,
ENSG00000178573.7,ENSG00000178573,MAF,-1.029103083,-1.944482335,-0.698747817,-0.444079097,MAF bZIP transcription factor,"MAF is a human gene that encodes a transcription factor containing a leucine zipper. It can act as a homodimer or heterodimer and function as a transcriptional activator or repressor depending on the binding site and partner. MAF plays a role in regulating various cellular processes, including embryonic lens fiber cell development, T-cell susceptibility to apoptosis, and chondrocyte terminal differentiation. Mutations in this gene are associated with juvenile-onset pulverulent cataract and congenital cerulean cataract 4. Two different isoforms of the protein are produced by alternative splicing.","Mutations in the MAF gene have been associated with several types of cataracts, including juvenile-onset pulverulent cataract and congenital cerulean cataract 4. These cataracts are characterized by the accumulation of protein aggregates in the lens, leading to clouding and impaired vision. While there are currently no targeted drug discovery efforts specifically for MAF-related cataracts, several drugs have been developed to treat cataracts in general. These include topical eye drops containing non-steroidal anti-inflammatory drugs (NSAIDs) and corticosteroids, which can reduce inflammation and swelling in the eye. Surgery to remove the clouded lens and replace it with an artificial one is also a common treatment for cataracts. Overall, while there is no cure for cataracts, current treatments can effectively manage the symptoms and improve quality of life for affected individuals.",GO:0070306 lens fiber cell differentiation;GO:0030219 megakaryocyte differentiation;GO:0140467 integrated stress response signaling,,Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues; Human disease related genes:Nervous system diseases:Eye disease; Transcription factors:Basic domains; Predicted intracellular proteins; Cancer-related genes; Disease related genes,Nuclear bodies;Nucleoplasm (Approved); Additional: Golgi apparatus;Vesicles,,(M60)PID NFAT TFPATHWAY; (M167)PID AP1 PATHWAY; (M195)PID CMYB PATHWAY,(M5908)HALLMARK ANDROGEN RESPONSE
ENSG00000196850.6,ENSG00000196850,PPTC7,-1.028550859,-1.375047161,-1.419260566,-0.29134485,protein phosphatase targeting COQ7,PPTC7 is a human gene that encodes a protein phosphatase targeting COQ7. This gene enables protein serine/threonine phosphatase activity and is involved in peptidyl-serine dephosphorylation and regulation of ubiquinone biosynthetic process. PPTC7 is located in the mitochondrial matrix.,"There is limited information available on the disease implications of PPTC7. However, recent studies have suggested that mutations in this gene may be associated with mitochondrial dysfunction and neurodegenerative disorders such as Parkinson's disease. Targeted drug discovery efforts for PPTC7 are still in the early stages, but there is potential for the development of drugs that can modulate the activity of this protein phosphatase and improve mitochondrial function. Currently, there are no drugs on the market that specifically target PPTC7, but there are drugs that target other proteins involved in the ubiquinone biosynthetic process, such as coenzyme Q10 (CoQ10) supplements, which have been used to treat mitochondrial disorders. Additionally, drugs that target other aspects of mitochondrial function, such as antioxidants and mitochondrial biogenesis activators, may also have potential therapeutic benefits for diseases associated with PPTC7 dysfunction.",GO:0010795 regulation of ubiquinone biosynthetic process;GO:0070262 peptidyl-serine dephosphorylation;GO:0010566 regulation of ketone biosynthetic process,,ENZYME proteins:Hydrolases; Enzymes; Predicted intracellular proteins,Cytosol;Plasma membrane (Approved),,,
ENSG00000198853.12,ENSG00000198853,RUSC2,-1.028540212,-1.777856437,-0.954375717,-0.353388482,RUN and SH3 domain containing 2,RUSC2 (RUN and SH3 domain containing 2) is a gene that encodes a protein containing both RUN and SH3 domains. This protein interacts with Rab1b and Rab1-binding protein GM130. Alternative splicing of the transcript has been observed.,"There is limited information available on the disease implications of RUSC2. However, recent studies have suggested that RUSC2 may play a role in cancer progression and metastasis. Specifically, RUSC2 has been found to be overexpressed in several types of cancer, including breast, lung, and pancreatic cancer. Targeted drug discovery efforts for RUSC2 are currently underway, with a focus on developing small molecule inhibitors that can selectively target RUSC2 and inhibit its function in cancer cells. While there are currently no drugs on the market that specifically target RUSC2, several drugs that target related proteins, such as Rab1b and GM130, have been approved for the treatment of various diseases, including cancer and neurodegenerative disorders.",,,Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Transporters:Accessory Factors Involved in Transport; Potential drug targets; Disease related genes,,,,
ENSG00000181222.19,ENSG00000181222,POLR2A,-1.028272726,-1.64819802,-1.011162482,-0.425457677,RNA polymerase II subunit A,"POLR2A is a gene that encodes the largest subunit of RNA polymerase II, which is responsible for synthesizing messenger RNA in eukaryotes. The product of this gene contains a carboxy terminal domain composed of heptapeptide repeats that are essential for polymerase activity. These repeats contain serine and threonine residues that are phosphorylated in actively transcribing RNA polymerase. Additionally, this subunit, in combination with several other polymerase subunits, forms the DNA binding domain of the polymerase, a groove in which the DNA template is transcribed into RNA.","Mutations in the POLR2A gene have been associated with a variety of diseases, including cancer, developmental disorders, and neurodegenerative diseases. In particular, mutations in the carboxy terminal domain of the POLR2A gene have been linked to a rare developmental disorder called Warsaw breakage syndrome, which is characterized by growth retardation, intellectual disability, and a predisposition to cancer.

Targeted drug discovery efforts for POLR2A have focused on developing inhibitors that can selectively target the polymerase activity of RNA polymerase II. One example is the drug alpha-amanitin, which is a cyclic peptide toxin produced by the death cap mushroom. Alpha-amanitin binds to the RNA polymerase II enzyme and inhibits its activity, leading to cell death. However, due to its toxicity, alpha-amanitin is not a viable drug candidate for human use.

Another example of a successful drug targeting RNA polymerase II is the chemotherapy drug actinomycin D. Actinomycin D binds to the DNA template strand and prevents RNA polymerase II from transcribing RNA, leading to cell death. Actinomycin D is used to treat a variety of cancers, including Wilms' tumor, rhabdomyosarcoma, and Ewing's sarcoma. However, due to its toxicity and side effects, actinomycin D is typically used as a last resort in cancer treatment.",GO:0001172 RNA-templated transcription;GO:0001059 transcription by RNA polymerase IV;GO:0001060 transcription by RNA polymerase V,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; RNA polymerase related proteins; Predicted intracellular proteins,Nucleoplasm (Enhanced); Additional: Cytosol,,,(M5898)HALLMARK DNA REPAIR
ENSG00000145715.15,ENSG00000145715,RASA1,-1.026572928,-1.227226423,-1.20093502,-0.651557342,RAS p21 protein activator 1,"RASA1 is a gene that encodes a protein located in the cytoplasm and is part of the GAP1 family of GTPase-activating proteins. The protein stimulates the GTPase activity of normal RAS p21 but not its oncogenic counterpart, acting as a suppressor of RAS function. Mutations in the gene have been associated with basal cell carcinomas, hereditary capillary malformations (CM) with or without arteriovenous malformations (AVM), and Parkes Weber syndrome. Alternative splicing results in two isoforms, with the shorter isoform lacking the N-terminal hydrophobic region but retaining the same activity and being abundantly expressed in placental but not adult tissues.","Mutations in the RASA1 gene have been associated with several diseases, including hereditary capillary malformations (CM) with or without arteriovenous malformations (AVM), Parkes Weber syndrome, and basal cell carcinomas. Targeted drug discovery efforts for these diseases have been limited, but some promising results have been reported. For example, a recent study found that the drug sorafenib, which targets the RAS/RAF/MEK/ERK pathway, was effective in treating a patient with Parkes Weber syndrome. Additionally, a case report described successful treatment of a patient with CM-AVM using the mTOR inhibitor sirolimus. However, more research is needed to fully understand the potential of targeted therapies for RASA1-related diseases.",GO:0001953 negative regulation of cell-matrix adhesion;GO:0010812 negative regulation of cell-substrate adhesion;GO:0001570 vasculogenesis,,Human disease related genes:Congenital malformations:Congenital malformations of the circulatory system; RAS pathway related proteins; Predicted intracellular proteins; Human disease related genes:Cancers:Skin cancers; Disease related genes; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes; Cancer-related genes:Candidate cancer biomarkers,Basal body;Vesicles (Approved); Additional: Cytosol,,(M226)PID VEGFR1 PATHWAY; (M269)PID RAS PATHWAY; (M242)PID AURORA A PATHWAY,(M5919)HALLMARK HEDGEHOG SIGNALING; (M5893)HALLMARK MITOTIC SPINDLE; (M5915)HALLMARK APICAL JUNCTION
ENSG00000096070.19,ENSG00000096070,BRPF3,-1.026310948,-1.518698564,-0.743893453,-0.816340827,bromodomain and PHD finger containing 3,BRPF3 is a human gene that is predicted to have histone binding activity. It is involved in histone H3-K14 acetylation and positively regulates DNA replication. BRPF3 is part of the MOZ/MORF histone acetyltransferase complex.,"There is limited information available on the disease implications of BRPF3. However, it has been suggested that dysregulation of the MOZ/MORF complex, of which BRPF3 is a part, may contribute to the development of certain cancers. Targeted drug discovery efforts for BRPF3 are also limited, but there is ongoing research into developing inhibitors of the MOZ/MORF complex as potential cancer therapies. One example of a successful drug targeting histone acetylation is Vorinostat, which inhibits histone deacetylases and is used to treat cutaneous T-cell lymphoma. Another example is Romidepsin, which also inhibits histone deacetylases and is used to treat peripheral T-cell lymphoma. However, these drugs do not specifically target BRPF3 or the MOZ/MORF complex.",GO:0045740 positive regulation of DNA replication;GO:0006275 regulation of DNA replication;GO:0051054 positive regulation of DNA metabolic process,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Mitochondria,,,(M5921)HALLMARK COMPLEMENT
